Nro_Orden_Establecimiento;Periodo;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
297826719;2015;1;Barranquilla;9;Cartagena;99;5
297718256;2015;1;Barranquilla;9;Cartagena;99;5
297718273;2015;1;Barranquilla;9;Cartagena;99;5
297826971;2015;1;Barranquilla;9;Cartagena;99;5
297826877;2015;1;Barranquilla;9;Cartagena;99;5
10400088;2015;1;Barranquilla;9;Cartagena;99;5
441879;2015;1;Barranquilla;9;Cartagena;99;5
312167;2015;1;Barranquilla;9;Cartagena;99;5
9816010;2015;1;Barranquilla;9;Cartagena;99;5
374311;2015;1;Barranquilla;9;Cartagena;99;5
297718327;2015;1;Barranquilla;9;Cartagena;99;5
297820391;2015;1;Barranquilla;9;Cartagena;99;5
297818576;2015;1;Barranquilla;9;Cartagena;99;5
299303278;2015;1;Barranquilla;9;Cartagena;99;5
297718345;2015;1;Barranquilla;9;Cartagena;99;5
452424;2015;1;Barranquilla;9;Cartagena;99;5
10900622;2015;1;Barranquilla;9;Cartagena;99;5
297827083;2015;1;Barranquilla;9;Cartagena;99;5
441848;2015;1;Barranquilla;9;Cartagena;99;5
394535;2015;1;Barranquilla;9;Cartagena;99;5
409328;2015;1;Barranquilla;9;Cartagena;99;5
441881;2015;1;Barranquilla;9;Cartagena;99;5
297822760;2015;1;Barranquilla;9;Cartagena;99;5
406282;2015;1;Barranquilla;9;Cartagena;99;5
441855;2015;1;Barranquilla;9;Cartagena;99;5
297718300;2015;1;Barranquilla;9;Cartagena;99;5
297820824;2015;1;Barranquilla;9;Cartagena;99;5
299304552;2015;1;Barranquilla;9;Cartagena;99;5
299303361;2015;1;Barranquilla;1;Barranquilla;99;5
10400098;2015;1;Barranquilla;9;Cartagena;99;5
10900956;2015;1;Barranquilla;9;Cartagena;99;5
441135;2015;1;Barranquilla;9;Cartagena;99;5
10900979;2015;1;Barranquilla;9;Cartagena;99;5
10900980;2015;1;Barranquilla;9;Cartagena;99;5
10400101;2015;1;Barranquilla;9;Cartagena;99;5
297826740;2015;3;Bucaramanga;10;Cúcuta;99;5
297826883;2015;3;Bucaramanga;10;Cúcuta;99;5
297826884;2015;3;Bucaramanga;10;Cúcuta;99;5
297826885;2015;3;Bucaramanga;10;Cúcuta;99;5
297826901;2015;3;Bucaramanga;10;Cúcuta;99;5
10400099;2015;3;Bucaramanga;10;Cúcuta;99;5
297826747;2015;3;Bucaramanga;10;Cúcuta;99;5
11000402;2015;3;Bucaramanga;10;Cúcuta;99;5
11000409;2015;3;Bucaramanga;10;Cúcuta;99;5
11000410;2015;3;Bucaramanga;10;Cúcuta;99;5
452108;2015;5;Manizales;11;Ibagué;99;5
297826829;2015;5;Manizales;11;Ibagué;99;5
297818881;2015;5;Manizales;11;Ibagué;99;5
296914042;2015;2;Bogotá;2;Bogotá;99;5
297826886;2015;5;Manizales;11;Ibagué;99;5
452553;2015;5;Manizales;11;Ibagué;99;5
297826772;2015;5;Manizales;11;Ibagué;99;5
297826673;2015;5;Manizales;11;Ibagué;99;5
297718320;2015;2;Bogotá;2;Bogotá;99;5
299303282;2015;5;Manizales;11;Ibagué;99;5
297826947;2015;5;Manizales;11;Ibagué;99;5
2959356;2015;2;Bogotá;2;Bogotá;99;5
296914033;2015;2;Bogotá;2;Bogotá;99;5
297839488;2015;2;Bogotá;2;Bogotá;99;5
297822615;2015;5;Manizales;11;Ibagué;99;5
11100787;2015;5;Manizales;11;Ibagué;99;5
11100788;2015;5;Manizales;11;Ibagué;99;5
11100789;2015;5;Manizales;11;Ibagué;99;5
11100790;2015;6;Medellín;12;Monteria;99;5
11100791;2015;6;Medellín;12;Monteria;99;5
297826972;2015;2;Bogotá;13;Neiva;99;5
377622;2015;2;Bogotá;13;Neiva;99;5
297826505;2015;2;Bogotá;13;Neiva;99;5
297826918;2015;2;Bogotá;13;Neiva;99;5
297826954;2015;2;Bogotá;13;Neiva;99;5
299303377;2015;2;Bogotá;13;Neiva;99;5
297839490;2015;4;Cali;14;Pasto;99;5
299303258;2015;4;Cali;14;Pasto;99;5
297826853;2015;4;Cali;14;Pasto;99;5
452406;2015;4;Cali;14;Pasto;99;5
296886266;2015;4;Cali;14;Pasto;99;5
296886267;2015;4;Cali;14;Pasto;99;5
297838027;2015;4;Cali;14;Pasto;99;5
297718601;2015;4;Cali;14;Pasto;99;5
10700555;2015;4;Cali;14;Pasto;99;5
10700556;2015;4;Cali;14;Pasto;99;5
10700557;2015;4;Cali;14;Pasto;99;5
297826952;2015;4;Cali;15;Popayán;99;5
296886217;2015;1;Barranquilla;16;Santa Marta;99;5
297826801;2015;1;Barranquilla;16;Santa Marta;99;5
297826802;2015;1;Barranquilla;16;Santa Marta;99;5
297826803;2015;1;Barranquilla;16;Santa Marta;99;5
297838055;2015;1;Barranquilla;16;Santa Marta;99;5
9816056;2015;1;Barranquilla;16;Santa Marta;99;5
