Nro_Orden_Establecimiento;Periodo;C3RHE3;C3RHE4;C4VERTIADAPT;C6GAA1f;TOTALAVERTI;C3RHD1PTRV;C3RHD2PPVP;C3RHD3PMSV;MULTAVERT;C3RHD4TGTV;C3RHB1TAR;C3RHB2a;C3RHB2b;C3RHB2c;C3RHB2d;C3RHB3a3A;C3RHB3b3A;C3RHB3c3A;C3RHB3d3A;C3RHB3eT3A;C3RHB3a3B;C3RHB3b3B;C3RHB3c3B;C3RHB3d3B;C3RHB3eT3B;TOTVERTIDA;C3RHB4VAL;CODSEDE;Sede;CODSUBSEDE;Subsede;NOVEDAD;ESTADO
297821059;2014;0;0;0;0;0;0;0;0;0;0;NO; ; ; ; ;0;0;0;0;0;1489;0;0;0;1489;1489;300;2;Bogotá;91;Leticia;99;5
256628;2014;0;0;0;0;0;0;0;0;0;0;NO; ; ; ; ;0;0;0;0;0;3696;0;0;0;3696;3696;247;2;Bogotá;91;Leticia;99;5
297839502;2014;0;0;0;0;0;0;0;0;0;0;SI;a; ; ; ;0;0;72;0;72;0;0;0;0;0;72;0;2;Bogotá;91;Leticia;99;5
297730495;2014;0;0;0;0;0;0;0;0;0;0;NO; ; ; ; ;0;0;0;0;0;902;0;0;0;902;902;271;2;Bogotá;91;Leticia;99;5
297827899;2014;0;2530;0;0;2530;0;0;0;0;0;SI; ;b; ; ;11519;0;0;0;11519;0;0;0;0;0;11519;4855;2;Bogotá;91;Leticia;99;5
297827887;2014;180;275;120;0;575;0;0;0;0;0;SI;a; ; ; ;0;0;456;0;456;0;0;0;0;0;456;0;2;Bogotá;91;Leticia;99;5
441040;2014;0;0;0;0;0;0;0;0;0;0;NO; ; ; ; ;0;0;0;0;0;763;0;0;0;763;763;267;2;Bogotá;91;Leticia;99;5
444211;2014;0;0;0;0;0;0;0;0;0;0;NO; ; ; ; ;0;0;0;0;0;292;0;0;0;292;292;50;2;Bogotá;18;Villavicencio;99;5
297822054;2014;0;0;0;0;0;85;0;0;0;85;NO; ; ; ; ;0;0;0;0;0;1223;0;0;0;1223;1223;1812;2;Bogotá;2;Bogotá;99;5
297819453;2014;0;0;0;0;0;135;0;0;0;135;NO; ; ; ; ;0;0;0;0;0;1916;0;0;0;1916;1916;2931;2;Bogotá;2;Bogotá;99;5
450867;2014;0;0;0;0;0;178;0;0;0;178;NO; ; ; ; ;0;0;0;0;0;2619;0;0;0;2619;2619;4156;2;Bogotá;2;Bogotá;99;5
441850;2014;0;0;0;0;0;0;0;0;0;0;NO; ; ; ; ;0;0;0;0;0;4672;0;0;0;4672;4672;18872;1;Barranquilla;22;San Andrés;99;5
